answer,question,funFact
336,How many dimples are on a regulation golf ball?,"The count can range from 300–500, but 336 is the most common for American golf balls."
78%,What percentage of the Earth's atmosphere is nitrogen?,"The remaining 21% is oxygen, with just 1% argon and trace amounts of everything else."
206,How many bones are in the adult human body?,Babies are born with roughly 270–300 bones — many fuse together as they grow.
1858,In what year was the first transatlantic telegraph cable successfully laid?,The first cable failed after just 3 weeks. A permanent cable wasn't achieved until 1866.
1500,Approximately how many active volcanoes are on Earth?,"About 40–50 erupt each year, and most sit along the Pacific Ring of Fire."
86 billion,How many neurons are in the human brain?,That's roughly the same number of stars in the Milky Way galaxy.
98.8%,What percentage of human DNA is identical to that of chimpanzees?,The 1.2% difference accounts for all the anatomical and cognitive distinctions between us.
"60,000 miles [96,561 km]",How many miles of blood vessels are in the human body?,"Stretched end to end, they would circle the Earth about 2.5 times."
88,How many keys are on a standard piano keyboard?,"The 88-key layout wasn't standardized until 1880, when Steinway & Sons set the convention."
9,How many countries share a land border with Germany?,"They are Denmark, Poland, Czech Republic, Austria, Switzerland, France, Luxembourg, Belgium, and the Netherlands."
3%,What percentage of the Earth's total water supply is freshwater?,"Of that 3%, about two-thirds is locked in glaciers and ice caps — leaving less than 1% accessible."
5555,What is the boiling point of tungsten in degrees Celsius?,Tungsten has the highest boiling point of any element and is used in incandescent light bulb filaments.
1897,In what year was aspirin first synthesized by Felix Hoffmann?,Aspirin's active ingredient originally came from willow bark — used by ancient Egyptians for pain relief thousands of years earlier.
100000,Approximately how many times does the human heart beat per day?,"Over a 70-year lifetime, that adds up to roughly 2.5 billion heartbeats."
54,How many countries are in Africa?,"Africa has more countries than any other continent, and Nigeria is its most populous nation."
"4,345 miles [6,993 km]",How many miles long is the Amazon River approximately?,The Amazon discharges about 20% of all the fresh water that flows into the world's oceans.
116,How many years did the Hundred Years' War actually last?,"It ran from 1337 to 1453 — a series of conflicts between England and France, not one continuous war."
1607,In what year was Jamestown the first permanent English settlement in America founded?,Only about 60 of the original 500 settlers survived the first winter.
78,How many chromosomes does a dog have?,Humans have 46. Dogs have more because their genome underwent additional chromosomal fissions during evolution.
7641,How many islands does the Philippines officially have?,"Only about 2,000 of those islands are inhabited."
193,How many member states are in the United Nations?,There are 195 recognized countries in the world — Vatican City and Palestine are the two non-members.
50 million,How many people are estimated to have died from the 1918 Spanish flu pandemic?,"It killed more people than World War I, which lasted four years compared to the flu's two-year span."
"29,032 feet [8,849 m]",How many feet above sea level is the summit of Mount Everest per the 2020 survey?,The 2020 survey added 86 cm to the previous official height using improved GPS measurement techniques.
17,How many NBA championships has the Boston Celtics franchise won as of 2024?,That makes them the most successful franchise in NBA history.
53,How many feature films did Alfred Hitchcock direct in his career?,"He made a cameo appearance in 39 of those films, usually near the beginning."
1215,In what year was the Magna Carta signed?,"Pope Innocent III annulled it just 10 weeks after it was signed, calling it shameful and demeaning."
228132,How many words are listed in the full Oxford English Dictionary?,The full OED spans 20 volumes — reading it cover to cover would take a single person about 120 years.
"767 mph [1,235 km/h]",What is the speed of sound at sea level in miles per hour?,"At 35,000 feet the air is colder and thinner, dropping the speed of sound to about 660 mph."
71%,What percentage of Earth's surface is covered by water?,"Despite covering 71% of the surface, the oceans hold 97% of all Earth's water — nearly all of it saltwater."
118,How many elements are currently recognized on the periodic table?,"Element 118, Oganesson, was first synthesized in 2002 and exists for less than a millisecond before decaying."
163,How many floors does the Burj Khalifa have?,"It's so tall that you can watch the sunset at ground level, then take an elevator up and watch it set again."
20,How many watts of electricity does the resting human brain consume?,The brain uses about 20% of your body's total energy despite making up only 2% of your body weight.
4000,How many muscles does a caterpillar have?,"Humans have about 600 muscles. A caterpillar fits 4,000 into a body smaller than your finger."
"13,171 miles [21,197 km]",How many miles long is the Great Wall of China including all sections?,"Contrary to popular myth, the Wall is not visible from space with the naked eye — it's too narrow."
3500,How many calories are contained in one pound of body fat?,"Running a full marathon burns roughly 2,600 calories — you'd need to run about 1.3 marathons to lose one pound."
80%,What percentage of all gold ever mined from the Earth has already been extracted?,"About 190,000 tonnes of gold have been mined in all of history — enough to fill roughly 3.5 Olympic swimming pools."
60%,What percentage of the world's population lives in Asia?,"Two of the world's three most populous countries are in Asia: China and India, each with over 1.4 billion people."
420 lbs [191 kg],How many pounds does an adult male lion weigh on average?,"Despite their size, lions sleep up to 20 hours a day — more than almost any other animal."
33,How many vertebrae does an adult human spine have?,"That includes 7 cervical, 12 thoracic, 5 lumbar, 5 fused sacral, and 4 fused coccygeal vertebrae."
