category,word
General,90s - 2000s
General,Abstract - Concrete
General,Abstract - Literal
General,Accepting - Judging
General,Active - Lazy
General,Active - Passive
General,Alive - Dead
General,Alive - Inanimate
General,Alive - Robotic
General,Ancient - Futuristic
General,Art - Science
General,Authentic - Pretentious
General,Awake - Asleep
General,Bad habit - Good habit
General,Bad pizza topping - Good pizza topping
General,Balanced - Off-kilter
General,Basic - Fancy
General,Believer - Skeptic
General,Big - Small
General,Bitter - Sweet
General,Brave - Cowardly
General,Bright - Bleak
General,Bright - Dim
General,Bright - Gloomy
General,Bright - Muted
General,Bright - Shadowy
General,Calm - Chaotic
General,Caring - Harsh
General,Cautious - Reckless
General,Center - Edge
General,Centered - Off-balance
General,Certain - Doubtful
General,Certain - Uncertain
General,Chaotic - Disciplined
General,Cheap - Expensive
General,Childlike - Mature
General,Civilized - Primitive
General,Classic - Trendy
General,Classy - Trashy
General,Clean - Dirty
General,Clear - Confusing
General,Cluttered - Minimalist
General,Colorful - Monochrome
General,Comedic - Tragic
General,Common - Rare
General,Complex - Straightforward
General,Composed - Panicked
General,Confident - Insecure
General,Conservative - Liberal
General,Cool - Warm
General,Cozy - Spacious
General,Cozy - Sterile
General,Cultural - Commercial
General,Curious - Apathetic
General,Curious - Indifferent
General,Curvy - Straight
General,Daring - Reserved
General,Day - Night
General,Deep - Shallow
General,Deep - Superficial
General,Dense - Sparse
General,Dense - Thin
General,Digital - Analog
General,Direct - Indirect
General,Distant - Intimate
General,Domestic - Foreign
General,Domestic - Wild
General,Driven - Apathetic
General,Dry - Moist
General,Easy - Difficult
General,Easygoing - Controlling
General,Effortless - Struggling
General,Energetic - Tired
General,Ethical - Corrupt
General,Exaggerated - Understated
General,Fact - Opinion
General,Familiar - Alien
General,Familiar - Exotic
General,Familiar - Strange
General,Fantasy - Reality
General,Fast - Eternal
General,Fast - Slow
General,Fiction - Nonfiction
General,Fictional - Historical
General,Fierce - Gentle
General,Flat - Textured
General,Flexible - Inflexible
General,Flexible - Rigid
General,Flowing - Blocked
General,Fluid - Rigid
General,Focused - Chaotic
General,Focused - Distracted
General,Focused - Scatterbrained
General,Focused - Vague
General,Focused - Wandering
General,Forgiving - Unforgiving
General,Forgiving - Vengeful
General,Formal - Casual
General,Fragile - Tough
General,Free - Obligated
General,Free - Trapped
General,Fresh - Moldy
General,Fresh - Rotten
General,Fresh - Stale
General,Friendly - Cold
General,Friendly - Hostile
General,Full - Empty
General,Generational - Timeless
General,Generous - Greedy
General,Generous - Stingy
General,Grateful - Entitled
General,Guilty pleasure - Openly love
General,Hairless - Hairy
General,Happy - Sad
General,Hard - Soft
General,Hardworking - Carefree
General,Healthy - Sick
General,Heavy - Floating
General,Heavy - Light
General,Heavy - Weightless
General,Heroic - Villainous
General,High-tech - Low-tech
General,Historically important - Historically irrelevant
General,Honest - Deceptive
General,Honest - Disguised
General,Honest - Manipulative
General,Honest - Sneaky
General,Hopeful - Hopeless
General,Humble - Arrogant
General,Humid - Dry
General,Icy - Boiling
General,Impulsive - Calculated
General,Inclusive - Exclusive
General,Independent - Dependent
General,Inspiring - Discouraging
General,Interesting - Boring
General,Introvert - Extrovert
General,Inviting - Intimidating
General,Joyful - Miserable
General,Known - Unknown
General,Legal - Forbidden
General,Legal - Illegal
General,Light - Dark
General,Light - Heavy
General,Lively - Dull
General,Local - Global
General,Logic - Emotion
General,Logic - Instinct
General,Logical - Emotional
General,Loud - Mute
General,Loud - Soft
General,Loud - Still
General,Loud - Whispered
General,Love - Hate
General,Luck - Skill
General,Lush - Barren
General,Magical - Mundane
General,Mainstream - Underground
General,Manual - Automatic
General,Masculine - Androgynous
General,Masculine - Delicate
General,Masculine - Feminine
General,Mature - Immature
General,Mindful - Mindless
General,Minimal - Maximal
General,Modern - Ancient
General,Modern - Classic
General,Modest - Showy
General,Naive - Worldly
General,Natural - Artificial
General,Natural - Synthetic
General,Nature - Nurture
General,Noisy - Silent
General,Normal - Weird
General,Obvious - Subtle
General,Open - Closed
General,Open - Guarded
General,Open - Sealed
General,Open-minded - Closed-minded
General,Optimistic - Cynical
General,Optimistic - Pessimistic
General,Order - Chaos
General,Orderly - Disordered
General,Organic - Manufactured
General,Organized - Messy
General,Passive - Aggressive
General,Perfect - Flawed
General,Permanent - Fleeting
General,Permanent - Replaceable
General,Permanent - Temporary
General,Playful - Serious
General,Playful - Stern
General,Polished - Raw
General,Polite - Brash
General,Polite - Rude
General,Popular - Obscure
General,Popular - Unpopular
General,Practical - Dreamy
General,Practical - Impractical
General,Practical - Theoretical
General,Practical - Whimsical
General,Predictable - Erratic
General,Predictable - Surprising
General,Predictable - Unpredictable
General,Private - Public
General,Private - Social
General,Professional - Amateur
General,Proud - Ashamed
General,Public - Hidden
General,Public - Private
General,Purposeful - Aimless
General,Quiet - Chaotic
General,Quiet - Explosive
General,Quiet - Loud
General,Quiet - Talkative
General,Raw - Cooked
General,Raw - Refined
General,Reactive - Deliberate
General,Reactive - Proactive
General,Real - Fake
General,Real - Imaginary
General,Real - Virtual
General,Realistic - Idealistic
General,Realistic - Surreal
General,Relaxed - Hyper
General,Relaxed - Tense
General,Rich - Poor
General,Romantic - Practical
General,Round - Angular
General,Round - Pointy
General,Routine - Spontaneous
General,Rural - Cosmopolitan
General,Safe - Dangerous
General,Safe - Risky
General,Sane - Insane
General,Satisfying - Unsatisfying
General,Science - Superstition
General,Secular - Religious
General,Secure - Exposed
General,Secure - Vulnerable
General,Selfish - Selfless
General,Sensitive - Numb
General,Serious - Frivolous
General,Serious - Playful
General,Serious - Silly
General,Sharp - Blunt
General,Sharp - Dull
General,Sharp - Soft
General,Shiny - Matte
General,Simple - Complex
General,Sincere - Sarcastic
General,Smart - Stupid
General,Smooth - Bumpy
General,Smooth - Rough
General,Sober - Drunk
General,Solo - Team
General,Spicy - Bland
General,Stable - Shaky
General,Stable - Volatile
General,Static - Evolving
General,Steady - Wobbly
General,Straight - Twisted
General,Strict - Lenient
General,Strong - Weak
General,Structured - Unstructured
General,Supportive - Critical
General,Sweet - Bitter
General,Sweet - Salty
General,Sweet - Sour
General,Tactful - Blunt
General,Tall - Short
General,Tame - Wild
General,Tangible - Intangible
General,Temporary - Eternal
General,Thick - Thin
General,Traditional - Progressive
General,Tragic - Joyful
General,Transparent - Concealed
General,Transparent - Opaque
General,Transparent - Secretive
General,Trendy - Outdated
General,Trendy - Timeless
